table,rows_imported,rows_final,rows_removed,pct_removed
DEMO,1643483,1529536,113947,6.933263076
DRUG,7294235,6299773,994462,13.63353388
REAC,5609664,4983301,626363,11.165784617
INDI,4743336,4206546,536790,11.316718866
OUTC,1228257,1127292,100965,8.2201851893
THER,1700199,1486320,213879,12.579645089
RPSR,44522,44521,1,0.0022460806
