pair_id,expected_drug,expected_pt,source,a,n_drug,n_reac,PRR,PRR_LCL,PRR_UCL,PRR_CHI2,ROR,ROR_LCL,ROR_UCL,EBGM,EB05,EB95,signal_flag,signal_ror,signal_ebgm,detected_evans,detected_ror,detected_ebgm
1,ATORVASTATIN,Rhabdomyolysis,Well-established class effect,326,4354,2851,45.2237,40.4543,50.5553,12509.3821,48.8028,43.3092,54.9933,40.1324,36.6070,43.9207,1,1,1,YES,YES,YES
2,SIMVASTATIN,Rhabdomyolysis,Well-established class effect,53,562,2851,51.5310,39.7776,66.7571,2582.1631,56.7926,42.6953,75.5445,50.2279,39.8739,62.5998,1,1,1,YES,YES,YES
3,CIPROFLOXACIN,Tendon rupture,FDA Black Box 2008,30,1696,619,45.8812,31.8907,66.0093,1253.7630,46.6893,32.2506,67.5923,43.2530,31.7638,57.8031,1,1,1,YES,YES,YES
4,LEVOFLOXACIN,Tendon rupture,FDA Black Box 2008,49,1231,619,106.7209,80.1446,142.1101,4727.4665,111.1036,82.5294,149.5711,96.6496,76.0069,121.4909,1,1,1,YES,YES,YES
5,SEMAGLUTIDE,Pancreatitis,"FDA label, GLP-1 class",456,35651,3549,6.1774,5.6021,6.8118,1728.4870,6.2445,5.6565,6.8935,5.4928,5.0826,5.9288,1,1,1,YES,YES,YES
6,ISOTRETINOIN,Depression,Well-established,325,3940,11575,11.1854,10.0629,12.4331,2952.0087,12.1011,10.7864,13.5760,10.8271,9.8688,11.8582,1,1,1,YES,YES,YES
7,METHOTREXATE,Hepatotoxicity,Well-established,44,5997,1833,6.2480,4.6378,8.4171,189.5239,6.2867,4.6565,8.4877,5.8845,4.5668,7.4907,1,1,1,YES,YES,YES
8,WARFARIN,Haemorrhage,Well-established,9,272,7458,6.7926,3.5715,12.9185,44.6221,6.9908,3.5959,13.5909,5.6333,3.1923,9.4998,1,1,1,YES,YES,YES
